name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,total_time,suitable_for
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,240,"lunch,dinner"
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East,50,"lunch,dinner"
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,15,30,spicy,main course,Tripura,North East,45,"lunch,dinner"
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,20,"lunch,dinner"
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,30,"lunch,dinner"
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,25,"lunch,dinner"
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,45,"lunch,dinner"
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,50,"lunch,dinner"
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,50,"lunch,dinner"
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,40,"lunch,dinner"
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,50,"lunch,dinner"
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,150,"lunch,dinner"
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,45,"lunch,dinner"
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,50,"lunch,dinner"
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,mild,main course,Maharashtra,West,20,"lunch,dinner"
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,45,"lunch,dinner"
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,60,"lunch,dinner"
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,50,"lunch,dinner"
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,100,"lunch,dinner"
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,60,"lunch,dinner"
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,70,"lunch,dinner"
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,40,"lunch,dinner"
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,70,"lunch,dinner"
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,50,"lunch,dinner"
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North,70,"lunch,dinner"
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North,70,"lunch,dinner"
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,All India,All,60,"lunch,dinner"
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,60,"lunch,dinner"
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,60,"lunch,dinner"
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,All India,All,30,"lunch,dinner"
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North,105,"lunch,dinner"
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,Punjab,North,55,"lunch,dinner"
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,Punjab,North,60,"lunch,dinner"
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North,40,"lunch,dinner"
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,Punjab,North,40,"lunch,dinner"
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,60,30,mild,main course,Punjab,North,90,"lunch,dinner"
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,65,"lunch,dinner"
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,60,"lunch,dinner"
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,60,"lunch,dinner"
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North,60,"lunch,dinner"
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North,60,"lunch,dinner"
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,Rajasthan,West,40,"lunch,dinner"
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North,620,"lunch,dinner"
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,All India,North,105,"lunch,dinner"
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,mild,main course,Punjab,North,40,"lunch,dinner"
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North,30,"lunch,dinner"
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North,60,"lunch,dinner"
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North,40,"lunch,dinner"
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,240,30,spicy,main course,Punjab,North,270,"lunch,dinner"
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,75,"lunch,dinner"
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,75,"lunch,dinner"
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,30,"lunch,dinner"
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,15,30,spicy,main course,Tamil Nadu,South,45,"lunch,dinner"
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,50,"lunch,dinner"
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,15,30,spicy,main course,Tamil Nadu,South,45,"lunch,dinner"
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,30,"lunch,dinner"
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,50,"lunch,dinner"
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,spicy,main course,Kerala,South,70,"lunch,dinner"
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South,25,"lunch,dinner"
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,30,"lunch,dinner"
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South,30,"lunch,dinner"
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,30,"lunch,dinner"
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South,100,"lunch,dinner"
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South,35,"lunch,dinner"
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,mild,main course,All India,South,35,"lunch,dinner"
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,mild,main course,Tamil Nadu,South,30,"lunch,dinner"
Paravannam,"Raw rice,  jaggery, milk",vegetarian,15,30,spicy,main course,Kerala,South,45,"lunch,dinner"
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,mild,main course,Tamil Nadu,South,30,"lunch,dinner"
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,15,30,spicy,main course,Tamil Nadu,South,45,"lunch,dinner"
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,mild,main course,Tamil Nadu,South,30,"lunch,dinner"
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,All India,South,45,"lunch,dinner"
Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,495,40,mild,main course,Kerala,South,535,"lunch,dinner"
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,All India,South,65,"lunch,dinner"
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,mild,main course,Karnataka,South,180,"lunch,dinner"
Sevai,"Sevai, parboiled rice, steamer",vegetarian,120,30,mild,main course,All India,South,150,"lunch,dinner"
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,mild,main course,Tamil Nadu,South,30,"lunch,dinner"
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,mild,main course,Kerala,South,35,"lunch,dinner"
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,10,35,spicy,main course,Tamil Nadu,South,45,"lunch,dinner"
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,spicy,main course,Maharashtra,West,55,"lunch,dinner"
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,spicy,main course,Maharashtra,West,35,"lunch,dinner"
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,15,30,spicy,main course,Maharashtra,West,45,"lunch,dinner"
Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,spicy,main course,Gujarat,West,60,"lunch,dinner"
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,10,10,spicy,main course,Gujarat,West,20,"lunch,dinner"
Bhakri,"Jowar flour, sesame seeds",vegetarian,20,25,mild,main course,Maharashtra,West,45,"lunch,dinner"
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,15,30,spicy,main course,Maharashtra,West,45,"lunch,dinner"
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,mild,main course,Gujarat,West,50,"lunch,dinner"
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,spicy,main course,Gujarat,West,50,"lunch,dinner"
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,mild,main course,Maharashtra,West,25,"lunch,dinner"
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,spicy,main course,Rajasthan,West,30,"lunch,dinner"
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,10,30,spicy,main course,Gujarat,West,40,"lunch,dinner"
Kansar,"Wheat flour, cashews, rapeseed oil",vegetarian,10,40,mild,main course,Gujarat,West,50,"lunch,dinner"
Keri no ras,"Mango, sugar",vegetarian,10,10,sour,main course,Gujarat,West,20,"lunch,dinner"
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,spicy,main course,Madhya Pradesh,Central,50,"lunch,dinner"
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",vegetarian,10,10,spicy,main course,Maharashtra,West,20,"lunch,dinner"
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,15,30,bitter,main course,Gujarat,West,45,"lunch,dinner"
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,Maharashtra,West,60,"lunch,dinner"
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,Maharashtra,West,40,"lunch,dinner"
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,Gujarat,West,50,"lunch,dinner"
Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,Gujarat,West,50,"lunch,dinner"
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,25,30,spicy,main course,Maharashtra,West,55,"lunch,dinner"
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,25,60,spicy,main course,Gujarat,West,85,"lunch,dinner"
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",vegetarian,20,30,spicy,main course,Maharashtra,West,50,"lunch,dinner"
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,10,40,spicy,main course,Goa,West,50,"lunch,dinner"
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,35,40,spicy,main course,Gujarat,West,75,"lunch,dinner"
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,mild,main course,Assam,North East,30,"lunch,dinner"
Kumol Sawul,"Rice, eggs, carrot, beetroot",non vegetarian,15,30,spicy,main course,Assam,North East,45,"lunch,dinner"
Luchi,"Maida, vegetable oil",vegetarian,20,30,mild,main course,West Bengal,East,50,"lunch,dinner"
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,5,20,spicy,main course,Assam,North East,25,"lunch,dinner"
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",non vegetarian,15,25,spicy,main course,Assam,North East,40,"lunch,dinner"
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,15,30,mild,main course,Assam,North East,45,"lunch,dinner"
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,10,20,mild,main course,Assam,North East,30,"lunch,dinner"
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,15,30,mild,main course,Manipur,North East,45,"lunch,dinner"
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,15,30,spicy,main course,Assam,North East,45,"lunch,dinner"
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,mild,main course,All India,All,40,"lunch,dinner"
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,10,40,spicy,main course,West Bengal,East,50,"lunch,dinner"
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,20,40,spicy,main course,Assam,North East,60,"lunch,dinner"
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,15,30,mild,main course,West Bengal,East,45,"lunch,dinner"
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,15,30,spicy,main course,West Bengal,East,45,"lunch,dinner"
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,15,30,spicy,main course,Assam,North East,45,"lunch,dinner"
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",non vegetarian,15,30,spicy,main course,Assam,North East,45,"lunch,dinner"
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick",non vegetarian,15,30,spicy,main course,Assam,North East,45,"lunch,dinner"
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",non vegetarian,15,30,spicy,main course,Assam,North East,45,"lunch,dinner"
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato",non vegetarian,15,30,spicy,main course,Assam,North East,45,"lunch,dinner"
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,sweet,main course,West Bengal,East,40,"lunch,dinner"
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",vegetarian,15,30,mild,main course,Odisha,East,45,"lunch,dinner"
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,mild,main course,Assam,North East,30,"lunch,dinner"
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,15,50,spicy,main course,West Bengal,East,65,"lunch,dinner"
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,15,30,mild,main course,All India,All,45,"lunch,dinner"
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East,30,"lunch,dinner"
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,50,breakfast
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,90,breakfast
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,All India,All,60,breakfast
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,All India,South,450,breakfast
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,150,breakfast
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,All India,South,450,breakfast
Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,140,breakfast
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,All India,South,30,breakfast
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,spicy,snack,All India,South,35,breakfast
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,All India,All,30,breakfast
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,Gujarat,West,30,breakfast
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,bitter,snack,Gujarat,West,45,breakfast
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,snack,Maharashtra,West,100,breakfast
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,15,30,spicy,snack,Gujarat,West,45,breakfast
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North,165,"lunch,dinner"
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,starter,Punjab,North,270,"lunch,dinner"
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,All India,All,50,occasional
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,Odisha,East,50,occasional
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,Uttar Pradesh,North,55,occasional
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,510,occasional
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,45,occasional
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,730,occasional
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,All India,South,45,occasional
